original_class_label,canonical_label,recommendation,justification,Unnamed: 4
kitchen gloves,gloves,,,
kitchen handle,kitchen handle,,,
kitchen island,kitchen island,,,
kitchen knife set,knife,apply,Quantity/set and room-use modifiers, same underlying knife class.
kitchen lower cabinet,kitchen cabinet,apply,Word-order and vertical-position modifiers, all are kitchen cabinets.
kitchen lower shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
kitchen seating,chair,,,
kitchen shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
kitchen sink,sink,apply,Room/shape wording and common synonym, same general sink/washbasin fixture.
kitchen sink cabinet,cabinet,,,
kitchen table,table,,,
kitchen top,countertop,,,
kitchen towel,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
kitchen utensil,kitchen utensil,,,
kitchen utensils,kitchen utensil,apply,Singular/plural normalization.,
kitchenware,kitchen utensil,,,
knife,knife,,,
knife holder,knife,,,
knife set,knife,apply,Quantity/set and room-use modifiers, same underlying knife class.
knife stand,knife,,,
knob,knob,,,
l-shaped sofa,sofa,apply,Common synonym plus shape/quantity modifiers, same general sofa class.
lace doily,lace doily,,,
ladder,ladder,,,
lamp,light,,,
lamp shade,lampshade,apply,Spacing variant.,
lamp stand,lamp,,,
lamp table,side table,,,
lampshade,lamp,,,
landing,landing,,,
lantern,light,,,
laptop,computer,,,
laundry,laundry,,,
laundry bag,laundry,,,
laundry basket,laundry,,,
laundry machine,washing machine,apply,Common wording for the same appliance.,
lawn,grass,,,
lawn mower,lawn mower,,,
leaflets,document,,,
led tv,tv,apply,Display technology and mounting-location modifiers are non-essential.,
leg rest,footstool,,,
level,level,,,
lid,lid,,,
light,light,,,
light fixture,light,,,
light switch,switch,,,
lighter,lighter,,,
lighting fixture,light fixture,apply,Equivalent wording/location modifier for a general light fixture.,
liquid,liquid,,,
liquid cleaner,cleaner,,,
liquid container,container,,,
liquid soap,soap,apply,Form/use modifiers are non-essential to the general soap class.,
locker,locker,,,
lounge chair,chair,,,
lounger,chair,,,
lower cabinet,cabinet,,,
luggage,bag,,,
machine,machine,,,
magazine,document,,,
magazine rack,shelf,,,
magazines,magazine,apply,Plurality/quantity does not change the object class.,
magic marker,pen,,,
magic marker box,magic marker,,,
mail,document,,,
mailbox,mailbox,,,
makeup accessories,cosmetics,,,
mannequin,mannequin,,,
mantel,fireplace,,,
mantle,mantel,apply,Spelling variant in this context.,
map,map,,,
mascot,mascot,,,
mascots,mascot,apply,Singular/plural normalization.,
massage bed,massage bed,,,
mat,rug,,,
material,material,,,
measuring tape,measuring tape,,,
medal,trophy,,,
medal collection,trophy,,,
media console,tv stand,,,
medical lamp,medical lamp,,,
medical object,medical object,,,
menu,menu,,,
menu board,board,,,
meshwork,meshwork,,,
meter,meter,,,
microphone,microphone,,,
microphone accessory,microphone accessory,,,
microwave,microwave,,,
mini fridge,refrigerator,apply,Common synonym and size modifier, same general appliance.
mirror,mirror,,,
mirror /otherroom,mirror,apply,"Location/context modifiers describe placement, not a different mirror class.",
mirror door,mirror,,,
mirror frame,mirror,,,
mixer,food processor,,,
mobile,phone,,,
model,model,,,
modem,modem,,,
monitor,screen,,,
moose head/sculpture/hunting trophy,trophy,,,
mop,mop,,,
mortar,mortar,,,
motion detector,sensor,,,
motorcycle,motorcycle,,,
mouse,computer mouse,apply,The explicit computer term and generic label refer to the same indoor device in this vocabulary.,
mousepad,computer equipment,,,
mug,cup,,,
music album shelf,shelf,,,
music equipment,music equipment,,,
music equipment stand,music equipment stand,,,
music player,audio player,,,
music stand,music stand,,,
napkin,napkin,,,
napkins,napkin,apply,Singular/plural normalization.,
newspaper,document,,,
newspaper basket,basket,,,
night lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
nightstand,nightstand,,,
note,document,,,
note board,board,,,
notebook,stationery,,,
notebooks,notebook,apply,Singular/plural normalization.,
notes,document,,,
oar,oar,,,
object,object,,,
objects,objects,,,
office chair,chair,,,
office table,table,,,
oil lamp,light,,,
ornament,decoration,,,
ottoman,footstool,,,
outlet,outlet,,,
oven,oven,,,
oven and stove,oven,,,
oven vent,extractor hood,,,
overhang,overhang,,,
package,box,,,
pad,pad,,,
painting,artwork,,,
painting /otherroom,painting,apply,Annotation location suffix is non-semantic.,
painting frame,frame,apply,Content/style modifiers, all denote a general frame object. Specialized mirror/screen/shower frames remain distinct.
painting roll,painting stuff,,,
painting rolls,painting roll,apply,Singular/plural normalization.,
painting stuff,painting stuff,,,
painting tray,painting stuff,,,
pan,pan,,,
panel,panel,,,
panel screen,screen,,,
pantry,pantry,,,
paper,document,,,
paper holder,paper holder,,,
paper storage,paper storage,,,
paper towel,paper towel,,,
paper towel dispenser,paper towel,,,
paper towel holder,paper towel,,,
paper towels,paper towel,apply,Singular/plural normalization.,
papers,paper,apply,Plurality/quantity does not change the class.,
parapet,parapet,,,
partial,partial,,,
patio chair,chair,,,
pavement,pavement,,,
payment terminal,cash register,,,
pc tower,computer tower,apply,Abbreviation/synonym normalization.,
pedestal,pedestal,,,
pen,pen,,,
pen cup,stationery,,,
pen drive,computer equipment,,,
pencil,pen,,,
pencil case,stationery,,,
pencil holder,stationery,,,
pendant,pendant,,,
perfume,cosmetics,,,
pet bed,pet bed,,,
pet bowl,pet bowl,,,
phone,phone,,,
photo,artwork,,,
photo mount,photo mount,,,
photo mounts,photo mount,apply,Singular/plural normalization.,
photo stand,photo stand,,,
photos,photo,apply,Singular/plural normalization.,
piano,piano,,,
piano bench,piano,,,
piano stool,piano,,,
picture,artwork,,,
picture frame,frame,apply,Content/style modifiers, all denote a general frame object. Specialized mirror/screen/shower frames remain distinct.
pictures,picture,apply,Plurality/quantity/display-context modifiers, same general picture class.
pile of magazines,magazine,apply,Plurality/quantity does not change the object class.,
pillow,pillow,,,
pillow seat,chair,,,
ping pong table,table tennis table,,,
pitcher,jug,,,
pitchfork,pitchfork,,,
place mat,place mat,,,
plane,plane,,,
plank,plank,,,
planner,document,,,
plant,plant,,,
plant ornament,plant ornament,,,
plastic bag,bag,apply,"Plurality, size, material, or quantity is non-essential to the general bag class.",
plate,dinnerware,,,
plate of food,food,,,
plates,plate,apply,"Plurality, quantity, and decorative style are non-essential; non-dish plates such as steel plate remain separate.",
platform,platform,,,
platter,dinnerware,,,
playpen,playpen,,,
plenum box,plenum box,,,
pliers,pliers,,,
plug,outlet,,,
plumbing,plumbing,,,
plunger,plunger,,,
plush toy,toy,,,
podium,podium,,,
pole,pole,,,
poles,pole,apply,Singular/plural normalization.,
pool,pool,,,
pool stick,billiard cue,apply,Plurality and common synonym, same billiards implement.
pool table,pool table,,,
porcelain,porcelain,,,
portrait,artwork,,,
poster,poster,,,
pot,pot,,,
pot lid,pot lid,,,
potty,toilet,,,
pouches,pouches,,,
pouffe,footstool,,,
powder soap,soap,apply,Form/use modifiers are non-essential to the general soap class.,
power breaker box,electrical box,,,
power cord,cable,,,
power strip,outlet,,,
press,press,,,
pressure washer,pressure washer,,,
price tag,sign,,,
printer,printer,,,
product,product,,,
product box,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
product boxes,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
products,products,,,
projector,projector screen,,,
projector screen,screen,,,
prop,prop,,,
pump,pump,,,
punchbag,punchbag,,,
puppet,puppet,,,
purse,bag,,,
rack,shelf,,,
rack of weights,weight,,,
rack with shoes,shoe rack,,,
radiator,heater,,,
radio,audio player,,,
rag,rag,,,
ragdoll,toy,,,
ragdoll cat,ragdoll,,,
rail,rail,,,
rake,rake,,,
range hood,extractor hood,apply,Common names/location wording for the same kitchen extraction appliance.,
receipt printer,receipt printer,,,
receipt spike,receipt printer,,,
recliner,chair,,,
record player,audio player,,,
records,records,,,
recuperator,recuperator,,,
recycle bin,bin,,,
refrigerator,refrigerator,,,
refrigerator cabinet,refrigerator,,,
relief,sculpture,,,
remote control,remote control,,,
rice cooker,rice cooker,,,
riser,riser,,,
robe,clothes,,,
rock,stone,,,
rocking chair,chair,,,
rocking horse,rocking horse,,,
rod,rod,,,
rods,rod,apply,Singular/plural normalization.,
roll,roll,,,
rolled carpet,carpet,apply,"Location, material, and rolled-state modifiers are non-essential to the general carpet class.",
rolling pin,kitchen utensil,,,
roomba,vacuum cleaner,,,
rope,rope,,,
round chair,chair,apply,"Context, shape, fold/state, and quantity modifiers are non-essential to the general chair class.",
round cushion,cushion,apply,Shape modifier is non-essential.,
router,router,,,
row of theater chairs,chair,,,
rug,rug,,,
ruler,stationery,,,
safe,safe,,,
salt and pepper,spices,,,
salt and pepper grinder,spices,,,
salver,dinnerware,,,
sandals,shoe,,,
saturator,saturator,,,
sauna,sauna,,,
sauna bowl,sauna,,,
sauna heat rocks,sauna,,,
sauna heater,sauna,,,
sauna oven,sauna,,,
sauna seat,sauna,,,
sauna support,sauna,,,
saw,saw,,,
saxophone,saxophone,,,
scale,scale,,,
scanner,scanner,,,
scarf,clothes,,,
schedule,document,,,
sconce,light,,,
scoop,kitchen utensil,,,
screen,screen,,,
screen frame,screen frame,,,
screw box,tool rack,,,
screwdriver,screwdriver,,,
sculpture,sculpture,,,
seat,chair,,,
secretary,desk,,,
security camera,security camera,,,
security detector,sensor,,,
self-closing mechanism,self-closing mechanism,,,
sensor,sensor,,,
separator,separator,,,
set of armchairs,armchair,apply,"Size, quantity, or placement/context modifier; all are armchairs.",
set of boxes,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
set of cosmetics,cosmetics,apply,"Singular/plural, quantity, and location modifiers; same general cosmetics class.",
set of hangers,clothes hanger,apply,Plurality and clothing-type wording, same general garment hanger.
set of knives,knife,apply,Quantity/set and room-use modifiers, same underlying knife class.
set of pictures,picture,apply,Plurality/quantity/display-context modifiers, same general picture class.
set of towels,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
set of valves,set of valves,,,
sewing box,sewing tools,,,
sewing machine,sewing machine,,,
sewing set,sewing tools,,,
sewing tools,sewing tools,,,
shade,window shade,,,
shade rail,window shade,,,
shades,window shade,,,
shampoo,shampoo,,,
sheet,blanket,,,
sheet music,sheet music,,,
sheet music stand,music stand,apply,Quantity and wording variant, both refer to stands for sheet music.
sheets,sheet,apply,Singular/plural normalization.,
sheets / clothes,sheets / clothes,,,
shelf,shelf,,,
shelf / cabinet,cabinet,,,
shelf clutter,shelf,,,
shelf cubby,shelf,,,
shelf with art,shelf,,,
shelf with clutter,shelf,,,
shelf with cosmetics,cosmetics,,,
shelf with shoes,shoe rack,,,
shelving,shelf,,,
ship model,model,apply,"Subject modifier describes what the scale model depicts, not its general object category.",
ship toy,ship toy,,,
shirt,clothes,,,
shisha,shisha,,,
shoe,shoe,,,
shoe cabinet,shoe rack,,,
shoe case,shoe rack,,,
shoe rack,shoe rack,,,
shoe shelf,shoe rack,,,
shoehorn,shoehorn,,,
shoes,shoe,apply,Plurality/quantity/location state does not change the shoe class.,
shoes on shelf,shoe,apply,Plurality/quantity/location state does not change the shoe class.,
shoes rack,shoe rack,apply,Grammatical variant.,
shop shelf,shelf,,,
shoulder bag,bag,,,
shovel,shovel,,,
shower,shower,,,
shower bar,shower curtain,,,
shower base,shower,,,
shower battery,shower control,,,
shower bench,shower seat,,,
shower cabin,shower,,,
shower cabinet,shower,,,
shower caddy,shower,,,
shower case,shower,,,
shower ceiling lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
shower cockpit,shower,,,
shower control,shower,,,
shower cosmetics,cosmetics,apply,"Singular/plural, quantity, and location modifiers; same general cosmetics class.",
shower curtain,curtain,,,
shower curtain bar,shower grab bar,,,
shower curtain rod,shower curtain,,,
shower dial,shower control,,,
shower door frame,shower,,,
shower door handle,shower door handle,,,
shower door knob,shower door handle,,,
shower frame,shower,,,
shower glass,shower,,,
shower grab bar,grab bar,,,
shower handle,shower door handle,,,
shower handrail,shower grab bar,,,
shower hanger,hanger,,,
shower hose,shower,,,
shower hose/head,shower hose,,,
shower knob,shower control,,,
shower mat,rug,,,
shower mirror,mirror,apply,"Location/context modifiers describe placement, not a different mirror class.",
shower rail,shower,,,
shower rod,shower,,,
shower seat,shower seat,,,
shower shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
shower soap shelf,shower shelf,,,
shower stall,shower,,,
shower step,shower,,,
shower tap,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
shower tray,shower base,,,
shower tub,shower,,,
shower utensil,bathroom utensil,apply,Room/location wording variants for the same generic bathroom-utensil label.,
shower valve,shower control,,,
shower-bath cabinet,shower,,,
showerhead,shower,,,
shredder,shredder,,,
shutter,window shade,,,
shutters,shutter,apply,Singular/plural normalization.,
side table,side table,,,
sideboard,sideboard,,,
sign,sign,,,
silicone gun,silicone gun,,,
silicone tube,silicone tube,,,
sink,sink,,,
sink cabinet,cabinet,,,
sink table,sink,,,
sink tap,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
sink/basin,sink,apply,Room/shape wording and common synonym, same general sink/washbasin fixture.
sitting bench,bench,apply,Material/location/generic-use modifiers, specialized functional benches remain distinct.
skateboard,skateboard,,,
skates,skates,,,
ski,ski,,,
sky,sky,,,
sled,sled,,,
sledge,sled,,,
sleeping bag,sleeping bag,,,
slippers,shoe,,,
small table/stand,side table,,,
smoke alarm,smoke detector,,,
smoke detector,smoke detector,,,
snack,snack,,,
soap,soap,,,
soap bottle,soap,,,
soap dish,soap,,,
soap dish cubby,soap,,,
soap dispenser,soap,,,
soap dispenser shelf in shower,soap dispenser,,,
soap tray,soap,,,
soapbox,soap,,,
socket,outlet,,,
socks,socks,,,
sofa,sofa,,,
sofa chair,chair,,,
sofa seat,sofa,,,
sofa set,sofa,apply,Common synonym plus shape/quantity modifiers, same general sofa class.
soft chair,chair,,,
solarium,solarium,,,
sombrero,hat,,,
soundbar,speaker,,,
spa armchair,armchair,apply,"Size, quantity, or placement/context modifier; all are armchairs.",
spa bathtub,bathtub,apply,Spacing and location/style modifier, same general bathtub object.
spa bench,bench,apply,Material/location/generic-use modifiers, specialized functional benches remain distinct.
spatula,kitchen utensil,,,
speaker,speaker,,,
speaker stand,speaker stand,,,
spice boxes,spices,,,
spice rack,spices,,,
spices,spices,,,
spirit level,level,,,
sponge,sponge,,,
spoon,cutlery,,,
spray,spray can,,,
spray can,spray can,,,
sprinkler,sprinkler,,,
square,square,,,
stack,stack,,,
stack of albums,album,apply,Plurality/quantity does not change the object class.,
stack of bags,bag,apply,"Plurality, size, material, or quantity is non-essential to the general bag class.",
stack of binders,binder,apply,Plurality/quantity does not change the object class.,
stack of blankets,blanket,apply,Plurality/quantity and style/use modifier, same general blanket class.
stack of books,book,apply,Quantity does not change the object class.,
stack of books / papers,stack of books / papers,,,
stack of boxes,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
stack of cds,cd,apply,Plurality/quantity does not change the object class.,
stack of chairs,chair,apply,"Context, shape, fold/state, and quantity modifiers are non-essential to the general chair class.",
stack of clothes,clothes,apply,State/location/quantity modifiers do not change the clothing class.,
stack of files,file,apply,Quantity does not change the object class.,
stack of jackets,jacket,apply,Quantity does not change the object class.,
stack of magazines,magazine,apply,Plurality/quantity does not change the object class.,
stack of music stands,music stand,apply,Quantity and wording variant, both refer to stands for sheet music.
stack of papers,paper,apply,Plurality/quantity does not change the class.,
stack of pillows,pillow,apply,Quantity does not change the object class.,
stack of plates,plate,apply,"Plurality, quantity, and decorative style are non-essential; non-dish plates such as steel plate remain separate.",
stack of pots,pot,apply,Quantity does not change the object class.,
stack of product boxes,box,apply,"Material, contents, plurality, or quantity do not change the general box class; dedicated functional boxes are kept separate.",
stack of shoes,shoe,apply,Plurality/quantity/location state does not change the shoe class.,
stack of stuff,stack of stuff,,,
stack of t-shirts,t-shirt,apply,Quantity does not change the object class.,
stack of towels,towel,apply,"Plurality, quantity, and location/use modifiers are non-essential to the general towel class; paper towels remain separate.",
stack of trays,tray,apply,Style/quantity modifiers are non-essential, functional tray subtypes remain distinct.
stack of yarns,stack of yarns,,,
stacked chair,chair,apply,"Context, shape, fold/state, and quantity modifiers are non-essential to the general chair class.",
stage,stage,,,
stained glass,stained glass,,,
stand,stand,,,
stand/small table,side table,,,
stapler,stationery,,,
star,star,,,
stationery,stationery,,,
statue,sculpture,,,
statue/art,sculpture,,,
steel plate,steel plate,,,
step stool,step stool,,,
stereo,audio player,,,
stereo set,stereo,,,
stick,stick,,,
sticker book,book,,,
sticky notes,stationery,,,
stole,clothes,,,
stone,stone,,,
stone bench,bench,apply,Material/location/generic-use modifiers, specialized functional benches remain distinct.
stones,stone,apply,Singular/plural normalization.,
stonework,stonework,,,
stool,stool,,,
stools,stool,apply,Singular/plural normalization.,
storage,storage,,,
storage bin,storage,,,
storage box,box,,,
storage cabinet,cabinet,,,
storage shelving,shelf,,,
storage space,storage,,,
storage unit,storage,,,
stove,oven,,,
stovetop,stove,,,
strings,strings,,,
stroke,stroke,,,
strongbox,safe,,,
stuffed animal,toy,,,
subwoofer,speaker,,,
sunbed,sunbed,,,
support,support,,,
surface,surface,,,
surfboard,surfboard,,,
swing,swing,,,
switch,switch,,,
swivel chair,chair,,,
t-shirt,clothes,,,
table,table,,,
table cloth,table cloth,,,
table lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
table pad,table pad,,,
table stand,table stand,,,
table tennis table,table tennis table,,,
tablet,tablet,,,
tambourine,tambourine,,,
tank,water tank,,,
tap,faucet,apply,Tap/faucet synonyms with location modifiers, same general water-control fixture.
tapestry,artwork,,,
tea set,tea set,,,
teapot,kettle,,,
telephone,phone,,,
telescope,telescope,,,
tennis racket,tennis racket,,,
tent,tent,,,
thermometer,thermometer,,,
thermostat,thermostat,,,
three,three,,,
throw blanket,blanket,apply,Plurality/quantity and style/use modifier, same general blanket class.
tile,tile,,,
tiles,tile,apply,Singular/plural normalization.,
tire,tire,,,
tissue,tissue,,,
tissue box,tissue,,,
title,title,,,
toaster,toaster,,,
toaster oven,toaster oven,,,
toilet,toilet,,,
toilet brush,toilet brush,,,
toilet brush holder,toilet brush,,,
toilet cleaner,toilet cleaner,,,
toilet paper,toilet paper,,,
toilet paper dispenser,toilet paper,,,
toilet seat,toilet,,,
toiletry,toiletry,,,
toiletry bag,bag,,,
tool,tool,,,
tool box,tool rack,,,
tool rack,tool rack,,,
toothbrush,toothbrush,,,
toothpaste,toothpaste,,,
torch,flashlight,,,
towel,towel,,,
towel bar,towel bar,,,
towel ring,towel bar,,,
toy,toy,,,
traffic cone,traffic cone,,,
training mat,exercise mat,apply,Usage/context modifiers are non-essential to the general exercise-mat class.,
trampoline,trampoline,,,
trash bag,trash bag,,,
trash can,bin,,,
trashcan,trash can,apply,Spacing/common synonym normalization.,
tray,tray,,,
treadmill,treadmill,,,
tree,tree,,,
tree branch,tree branch,,,
trimmer,trimmer,,,
trinket,decoration,,,
tripod,tripod,,,
trolley,trolley,,,
trombone,trombone,,,
trophy,trophy,,,
trough,trough,,,
trumpet,trumpet,,,
tv,tv,,,
tv remote,remote control,apply,Device-context modifier, same remote-control object.
tv stand,tv stand,,,
typewriter,typewriter,,,
ukulele,ukulele,,,
umbrella,umbrella,,,
umbrella stand,umbrella stand,,,
unknown,unknown,,,
unknown/remove,unknown,,,
urinal,toilet,,,
utensil,kitchen utensil,,,
vacuum cleaner,vacuum cleaner,,,
vanity,vanity,,,
vase,vase,,,
vegetables,vegetables,,,
ventilation hood,extractor hood,apply,Common names/location wording for the same kitchen extraction appliance.,
vessel,vessel,,,
vessel sink,sink,apply,Room/shape wording and common synonym, same general sink/washbasin fixture.
vinyl records,vinyl records,,,
violin,violin,,,
violin case,violin case,,,
waffle iron,waffle iron,,,
wall cabinet,cabinet,,,
wall clock,clock,apply,Style/mounting-location modifiers are non-essential, functional clock subtypes are kept separate.
wall control,controller,,,
wall electronics,electrical device,,,
wall hanger,hanger,,,
wall hanging decoration,decoration,,,
wall lamp,lamp,apply,Placement/style modifiers are non-essential to the general lamp class, specialized functional lamp types remain distinct.
wall shelf,shelf,apply,Height/location modifiers are non-essential to the general shelf class, function/content-specific shelves remain separate.
wall sign,sign,,,
wall soap shelf,soap,,,
wall statue,sculpture,,,
wall toilet paper,toilet paper,,,
wall tv,tv,apply,Display technology and mounting-location modifiers are non-essential.,
wardrobe,wardrobe,,,
wash cabinet,cabinet,,,
washbasin,sink,apply,Room/shape wording and common synonym, same general sink/washbasin fixture.
washbasin counter,sink,,,
washcloth,towel,,,
washer-dryer,washing machine,,,
washing machine,washing machine,,,
washing machine and dryer,washer-dryer,apply,Equivalent wording for the same combined appliance.,
washing powder,washing powder,,,
washing stuff,washing stuff,,,
watch,watch,,,
water basin,sink,,,
water bottle,bottle,,,
water dispenser,water dispenser,,,
water fountain,water dispenser,,,
water heater,water heater,,,
water meter,water meter,,,
water outlet,faucet,,,
water pump,water pump,,,
water tank,water tank,,,
watering can,watering can,,,
weight,weight,,,
weight bench,weight bench,,,
weights,weights,apply,Singular/plural normalization.,
wheel,wheel,,,
wheelbarrow,wheelbarrow,,,
whine shelf,shelf,,,
whiteboard,board,,,
wifi router,router,apply,Connectivity modifier is non-essential to the general router class.,
window curtain,curtain,,,
window seat,chair,,,
window shade,window shade,,,
window valence,curtain,,,
wine,wine,,,
wine bottle,wine,apply,"Content, decoration, and plurality describe the bottle rather than a different underlying object class.",
wine cabinet,wine storage,,,
wine rack,wine storage,,,
wine storage,wine storage,,,
wire,cable,,,
wood,wood,,,
workout bike,exercise bike,apply,Common synonyms for the same exercise machine.,
workstation,desk,,,
worktop,countertop,,,
wreath,decoration,,,
wrench,wrench,,,
yoga mat,exercise mat,,,
